pressure,freq,total_power_input,compressor_p_input,displacer_p_input,comp_disp,disp_comp_st,disp_amp,cold_temp,cooling_power,carnot
30.6,65,76.35,68.23,8.12,30.4,7.993,4.966,80.29711825,1.9454,8.93879405
30.6,65,85.50,74.99,10.51,34.7,8.02,4.98,80.29711825,2.4021,10.15881748
30.6,65,95.27,81.43,13.84,40,7.97,4.92,80.23837723,2.8386,11.15995725
30.6,65,107.83,89.66,18.17,45.6,7.95,4.88,80.23837723,3.0444,10.96533498
30.6,65,115.41,97.36,18.05,55.4,7.95,3.84,80.23837723,2.805,9.726052257
30.6,65,107.22,92.68,14.54,49.6,8,4,80.29711825,2.8724,10.45545748
30.6,65,98.03,86.94,11.09,44.8,8.02,4.02,80.29711825,2.7885,10.81046559
30.6,65,90.18,81.7,8.48,40.6,8.02,4.02,80.23837723,2.5917,10.66932211
30.6,65,80.35,74.66,5.69,35.5,8,4.02,80.23837723,2.2797,10.23927599
30.6,65,70.78,67.49,3.29,29.7,7.98,4,80.29711825,1.8221,9.025178633
30.6,55,74.31,72.57,1.74,39.8,7.93,3.94,80.35583616,1.9877,10.82611565
30.6,60,78.04,73.74,4.3,39.8,7.99,4.02,80.29711825,2.2797,10.97188059
30.6,65,86.50,78.8,7.7,40.2,7.96,3.94,80.23837723,2.4332,10.4298728
30.6,70,105.02,92.29,12.73,39.8,8.01,3.98,80.23837723,2.5754,9.560530103
30.6,65,106.49,89.44,17.05,45.1,7.979,4.792,80.29711825,2.67758,9.727531987
30.6,65,101.75,87.92,13.83,45.3,7.96,4.4,80.29711825,2.70707,10.19504583
30.6,65,97.07,86,11.07,45.1,7.97,3.98,80.23837723,2.61088,10.22021061
30.6,65,95.15,85.54,9.61,45.1,8.02,3.594,80.29711825,2.39425,9.563786805
30.6,65,91.55,82.86,8.69,45.2,7.96,3.192,80.17961317,2.1021,8.749323957
30.3,65,95.04,84.39,10.65,44.9,7.99,3.96,80.29711825,2.7384,10.86504489
30.3,65,72.52,63.37,9.15,44.9,6.98,4,80.29711825,2.1021,10.73583185
30.3,65,55.43,46.89,8.54,45.4,6.01,3.98,80.29711825,1.3452,8.901864657
30.3,65,42.07,33.52,8.55,45.4,5.02,3.98,80.29711825,0.4554,3.997062147
30.3,65,122.28,109.13,13.15,44.2,8.93,3.98,80.12082615,3.2574,10.25263844
30.3,65,95.86,87.2,8.66,40.1,8.01,4.04,59.45278621,0.7654,4.306766422
28.2,70,98.52,86.1,12.42,39.1,7.96,4.02,80.29711825,2.5116,9.920078691
28.2,67.5,92.52,81.35,11.17,41.2,7.97,4,80.29711825,2.48,10.1523436
28.2,65,83.26,74.86,8.4,40.7,8,4,80.4145309,2.4021,10.59530551
28.2,62.5,76.65,70.3,6.35,40.4,8.01,4.02,80.35583616,2.2644,10.67937019
28.2,60,72.04,67.44,4.6,40.1,8.01,4.02,80.35583616,2.1605,10.84684702
28.2,57.5,69.10,65.98,3.12,40,8,4,80.35583616,2.03,10.83426925
28.2,55,67.99,65.84,2.15,40.6,7.97,3.98,80.23837723,1.9317,10.90194334
28.2,60,99.98,85.6,14.38,59.7,7.99,4,80.35583616,2.496,9.772990617
28.2,60,94.56,82.5,12.06,55.4,8,4.02,80.23837723,2.5434,10.38016142
28.2,60,86.23,77.24,8.99,50.1,8,4,80.29711825,2.48,10.84489179
28.2,60,99.06,83.66,15.4,50.6,7.99,4.98,80.23837723,2.5754,10.12188811
28.2,60,90.15,78,12.15,45.1,8.01,5.02,80.4145309,2.48,10.48123419
28.2,62.5,94.86,79.92,14.94,45.3,8.01,4.98,80.23837723,2.5754,10.28221981
28.2,62.5,106.81,94.31,12.5,40,8.97,5,80.29711825,3.1856,11.15836214
28.2,60,102.62,92.64,9.98,40.5,8.97,5.02,80.29711825,3.0794,11.36247547
28.2,60,79.24,72.54,6.7,45.4,8,4,80.23837723,2.3712,11.0737724
28.2,60,71.99,67.39,4.6,40.2,8.01,4.02,80.29711825,2.1456,10.77934089
28.2,60,65.30,62.44,2.86,35.2,8.02,3.98,80.23837723,1.904,10.31294737
28.2,60,59.73,57.98,1.75,30.7,8.01,4.02,80.23837723,1.6125,9.378848228
28.2,60,91.29,77.88,13.41,45.2,8.02,5.2,80.35583616,2.2496,9.373203534
28.2,60,86.34,75.93,10.41,44.9,8.01,4.82,80.23837723,2.3405,10.19212174
28.2,60,81.77,73.8,7.97,44.8,8.02,4.4,80.29711825,2.3712,10.76006761
28.2,60,78.99,72.29,6.7,45.6,8.01,4,80.35583616,2.3405,10.94144088
28.2,60,75.75,70.21,5.54,45.2,8.01,3.62,80.23837723,2.1164,10.24421523
28.2,60,73.17,68.23,4.94,45,8.02,3.22,80.23837723,1.8221,9.11745442
28.2,60,103.82,95.4,8.42,44.7,9.02,4.06,80.29711825,3.0096,10.92829175
28.2,60,81.11,74.31,6.8,45.7,8.03,4.02,80.23837723,2.3556,10.71806315
28.2,60,60.90,55.24,5.66,45.2,7.02,4.04,80.29711825,1.6637,9.866278848
28.2,60,47.06,41.46,5.6,45.9,6.02,4.02,80.23837723,0.9797,7.478941407
28.2,60,37.35,31.34,6.01,45.8,5.01,4.08,80.23837723,0.1848,1.785553384
28.2,60,108.18,99.77,8.41,44.6,8.96,4.04,69.8516425,1.904,7.90077908
28.2,60,90.27,83.31,6.96,44.7,7.96,4.02,69.8516425,1.5872,7.770225827
28.2,60,66.83,61.07,5.76,45.2,7.12,4,69.78995924,1.0098,6.536768588
28.2,60,51.21,45.6,5.61,45.7,6.1,4.02,69.8516425,0.3904,3.279267274
28.2,60,33.29,28.01,5.28,44.7,5,4,90.3725105,0.5548,5.05252855
28.2,60,45.80,40.54,5.26,45.8,6.05,4.02,90.21193926,1.4396,9.457010536
28.2,60,59.54,54.46,5.08,44.8,7.1,3.98,90.3725105,2.3556,11.93128065
28.2,60,77.49,71.38,6.11,45,8,4,90.3725105,2.9925,11.90836248
28.2,60,102.21,94.1,8.11,44.7,9.08,4.06,90.3725105,3.705,11.52754555
28.2,60,95.45,87.74,7.71,44.9,9.01,3.98,99.35142825,4.6004,13.18468004
28.2,60,75.27,68.82,6.45,45.7,8.05,4.02,99.35142825,3.8606,13.73922416
28.2,60,57.88,52.15,5.73,45.9,7.08,4.04,99.25949816,3.0096,13.73173758
28.2,60,42.71,37.51,5.2,45,6.06,4.04,99.35142825,2.016,12.25076625
28.2,60,32.60,26.97,5.63,45.2,5.06,4.04,99.35142825,0.9797,7.856979614
28.2,60,29.55,24.25,5.3,45.1,5.05,4.02,120.1151507,1.8221,12.01120047
28.2,60,38.25,33.39,4.86,45.3,5.99,4.02,120.0648026,2.7054,13.61637258
28.2,60,50.99,46.05,4.94,45.2,7,4.04,120.1151507,3.9794,15.095963
28.2,60,68.03,62.37,5.66,45,8.03,4.02,120.0648026,4.9506,14.4743727
28.2,60,90.18,82.46,7.72,45.7,9,4,119.9640986,6.1008,13.92338573
28.2,60,80.50,75.46,5.04,40.6,8.06,4,59.39025301,0.7395,4.842313456
28.2,60,69.72,65.95,3.77,40.9,8.02,3.2,80.23837723,1.716,8.901084813
28.2,60,70.89,67.06,3.83,40.5,8.05,3.64,80.29711825,1.8904,9.564858796
28.2,60,72.63,68.02,4.61,40.4,8.04,4.04,80.23837723,2.059,10.19924321
28.2,60,75.14,69.41,5.73,40.2,8.04,4.4,80.29711825,2.1315,10.25740525
28.2,60,79.05,71.21,7.84,40.3,8.05,4.82,80.17961317,2.1754,10.05985723
28.2,60,83.90,73.41,10.49,40.5,8.03,5.2,80.23837723,2.0163,8.939401136
28.2,60,31.66,26.06,5.6,42.7,5,3.98,99.35142825,0.6162,5.149579614
28.2,60,59.68,57.94,1.74,29,8,4,80.12082615,1.5624,9.146964696
28.2,60,66.17,62.86,3.31,34.4,8,4.02,80.23837723,1.8768,10.15093861
28.2,60,73.51,68.26,5.25,39.8,7.98,3.98,80.23837723,2.1754,10.87855737
28.2,60,79.21,71.42,7.79,45.4,7.96,3.98,80.23837723,2.3715,11.38698025
28.2,60,90.21,79.54,10.67,50.2,8.01,4,80.17961317,2.449,10.46943581
28.2,60,98.46,84.6,13.86,55.1,7.99,4.02,80.23837723,2.449,9.841679577
28.2,60,107.61,90.02,17.59,60.4,7.98,3.96,80.23837723,2.4178,9.118313461
28.2,60,105.90,95.7,10.2,44.5,9,4.02,80.12082615,3.115,11.40070454
28.2,60,84.32,75.88,8.44,45.5,8.03,4.02,80.12082615,2.4335,11.01427522
28.2,60,63.11,56.36,6.75,45,7,4,80.12082615,1.6899,9.98752242
28.2,60,49.24,42.48,6.76,45.8,6.02,4.04,80.12082615,0.8463,6.391120108
28.2,60,42.27,35.7,6.57,45.3,5.5,4.02,80.17961317,0.1056,0.9277292988
28.2,60,75.56,69.34,6.22,45.4,7.97,3.24,80.17961317,1.8495,9.205522981
28.2,60,77.84,71.18,6.66,44.9,7.98,3.6,80.17961317,2.0448,9.881519503
28.2,60,82.29,74.62,7.67,44.3,8,4,80.23837723,2.22,10.21823426
28.2,60,86.86,76.62,10.24,45.6,7.99,4.42,80.23837723,2.3254,10.29719666
28.2,60,92.80,79.84,12.96,45.4,8.04,4.86,80.17961317,2.2648,9.517403752
28.2,60,97.80,81.8,16,45.2,8.01,5.22,80.17961317,2.1024,8.5120858
30.9,57.5,77.63,75.08,2.55,39.4,7.99,4.02,80.17961317,2.146,10.80653839
30.9,60,81.39,77.41,3.98,39.6,8.04,4,80.29711825,2.356,11.01081713
30.9,62.5,84.99,79.3,5.69,40.1,8.01,4,80.17961317,2.3715,10.4798999
30.9,65,91.84,84.13,7.71,40,8.03,4.02,80.17961317,2.4648,10.0840764
30.9,67.5,100.77,90.06,10.71,40.7,8.03,4.02,80.12082615,2.528,9.61771249
30.9,70,109.05,96.2,12.85,40.1,7.98,4,80.29711825,2.528,9.105680732
30.7,65,97.93,88.77,9.16,44.4,8.01,3.2,80.29711825,2.1754,8.542466001
30.7,65,100.65,90.7,9.95,45.1,7.99,3.64,80.23837723,2.5438,9.7003943
30.7,65,104.51,92.99,11.52,45.7,7.95,4,80.17961317,2.7224,10.02050058
30.7,65,108.68,95.43,13.25,45.3,8,4.4,80.23837723,2.7888,9.892261915
30.7,65,113.79,98.06,15.73,45.7,8.05,4.78,80.12082615,2.8223,9.616458448
30.7,65,117.37,98.38,18.99,44.9,7.99,5.2,80.23837723,2.5599,8.5418987
30.6,65,74.52,71.4,3.12,30,7.97,4,80.23837723,1.863,8.818127086
30.6,65,83.03,77.98,5.05,34.9,8.02,4,80.23837723,2.22,9.669295374
30.6,65,91.58,84.02,7.56,40.1,8.01,4.02,80.23837723,2.28,9.228841754
30.6,65,100.93,90.4,10.53,45.4,7.98,4,80.23837723,2.22,8.371112422
30.6,65,111.89,97.54,14.35,50.6,8.01,4,80.23837723,2.22,7.760533001
30.6,65,121.43,103.42,18.01,55.3,8.03,4,80.29711825,1.988,6.548515541
30.6,65,100.09,89.92,10.17,44.5,8.03,3.98,80.23837723,2.4648,9.348745752
30.6,65,104.65,93.51,11.14,45.4,8.14,4.04,80.23837723,2.2648,8.273373573
31.3,57.5,79.60,76.95,2.65,40.8,7.95,3.98,80.23837723,2.28,11.17918987
31.3,60,82.72,78.6,4.12,41.3,7.97,3.92,80.23837723,2.4963,11.40670388
31.3,62.5,86.30,80.37,5.93,42,7.93,3.92,80.23837723,2.528,10.91008972
31.3,65,93.32,85.42,7.9,41.3,8.05,4,80.17961317,2.6895,10.75619964
31.3,67.5,101.89,91.06,10.83,42.1,8.01,4,80.17961317,2.7555,10.2854519
31.3,70,110.23,97.18,13.05,41.4,7.99,3.98,80.23837723,2.7888,9.857798026
31.3,65,95.54,86.99,8.55,45.6,8,3.2,80.17961317,2.1754,8.722354821
31.3,65,98.65,89.27,9.381,45.6,8.02,3.62,80.23837723,2.55507,9.902483058
31.3,65,100.00,89.51,10.492,45.2,7.975,4.094,80.23837723,2.72074,10.37597139
31.3,65,103.31,91.1,12.21,45.3,7.969,4.42,80.23837723,2.71908,10.07867157
31.3,65,108.79,93.63,15.16,45.2,7.96,4.82,80.17961317,2.715783,9.628608244
31.3,65,116.98,97.64,19.342,45.1,8.03,5.212,80.17961317,2.82906,9.506501783
31,65,99.17,88.64,10.53,45.2,7.97,4.12,80.17961317,2.8899,11.05644995
31,65,73.31,70.29,3.02,30.2,7.95,4,80.12082615,2.0163,9.715799152
31,65,81.73,76.8,4.93,35.4,8,4,80.23837723,2.3715,10.47968573
31,65,90.40,82.99,7.41,40.5,7.98,4,80.23837723,2.6243,10.76915396
31,65,99.06,88.79,10.27,45.4,7.97,4,80.23837723,2.8054,10.75896801
31,65,109.26,95.7,13.56,50.2,8.01,4,80.23837723,2.856,10.1847794
31,65,118.87,101.71,17.16,54.7,7.96,4,80.23837723,2.856,9.586729501
31,65,124.78,105.07,19.71,57.8,7.97,4,80.23837723,2.7555,8.939870333
31,65,123.09,110.4,12.69,45.3,8.72,4,80.23837723,3.0975,9.785399038
31,65,99.57,89.28,10.29,45.5,7.96,4,80.17961317,2.6568,10.17428428
31,65,76.80,68.38,8.42,45.5,7.03,4.02,80.17961317,2.0735,10.05832413
31,65,58.34,50.57,7.77,45.9,6.05,4.02,80.23837723,1.2768,8.062869741
31,65,44.28,36.59,7.69,46.1,5.05,4,80.29711825,0.3306,2.751361734
31,65,99.22,88.92,10.3,45.7,7.98,4,80.23837723,2.6568,10.18349701
28.2,55,67.40,65.65,1.748,40.2,7.98,4.02,80.4145309,2.05632,11.72494388
28.2,57.5,70.49,67.61,2.878,40.2,8.029,4.0522,80.29711825,2.205104,11.6187852
28.2,60,72.37,68.27,4.099,39.9,7.997,4.074,80.23837723,2.25896,11.33033958
28.2,62.5,78.63,72.54,6.092,40.4,8.054,4.164,80.23837723,2.417904,11.15120218
28.2,65,83.49,75.9,7.585,40.1,8.0142,4.074,80.29711825,2.436672,10.72869674
28.2,67.5,92.60,82.58,10.018,40.3,7.9981,4.064,80.23837723,2.508935,10.30029144
28.2,70,103.69,91.07,12.621,40,8.017,4.096,80.29711825,2.575904,9.808644114
28.2,60,61.87,60.37,1.5,30.3,8.03,4.15,80.23837723,1.64346,9.372735739
28.2,60,67.47,64.84,2.625,35,8.03,4.068,80.29711825,1.927822,10.23045522
28.2,60,73.62,69.52,4.103,40.5,8.04,4.028,80.23837723,2.13444,10.55795115
28.2,60,81.36,74.91,6.449,45.6,8,4.118,80.23837723,2.3777,10.88391407
28.2,60,88.56,79.85,8.705,50.2,8.003,4.13,80.23837723,2.47112,10.59811018
28.2,60,97.36,86.02,11.337,55.3,8.051,4.084,80.23837723,2.43507,9.7035794
28.2,60,103.81,89.75,14.055,60.1,8.002,4.07,80.23837723,2.302674,8.772031341
27.5,60,70.54,65.95,4.59,44.6,7.98,3.2,80.23837723,1.8495,9.577101315
27.5,60,73.48,68.31,5.17,45.6,7.95,3.62,80.23837723,2.1315,10.61043338
27.5,60,74.33,68.46,5.87,45.3,8,4.02,80.23837723,2.3254,11.58078198
27.5,60,73.91,66.82,7.09,45.4,8,4.4,80.23837723,2.4024,12.28940579
27.5,60,84.00,75.1,8.9,45.6,8,4.82,80.29711825,2.295,10.16008894
27.5,60,87.82,76.8,11.02,45.4,7.98,5.2,80.29711825,2.1608,9.243891258
27.5,60,97.30,90.26,7.04,44,8.98,4,80.17961317,2.7058,10.42776198
27.5,60,77.20,71.35,5.85,45.2,8,4,80.23837723,2.1608,10.30742199
27.5,60,58.99,54.14,4.85,45.3,7.03,4,80.23837723,1.4883,9.085312136
27.5,60,45.59,40.86,4.73,45.6,6.06,4.02,80.12082615,0.8099,6.351990457
27.5,60,36.14,31.64,4.5,44.6,5.31,4,80.35583616,0.1806,1.779387181
31,57.5,80.82,79.09,1.73,38.5,7.95,4,80.17961317,2.3103,11.17229679
31,60,84.18,80.98,3.2,38.8,7.96,4.1,80.4145309,2.4335,10.94707773
31,62.5,85.66,81,4.66,39.3,7.93,4,80.12082615,2.4963,10.95010795
31,65,94.00,87.56,6.44,39.1,7.93,4,80.00318349,2.592,10.2946372
31,67.5,95.39,88.45,6.94,37.2,7.87,3.78,80.35583616,2.4963,9.86354463
31,70,96.00,88.64,7.36,36,7.76,3.58,80.35583616,2.1608,8.634691629
30.5,65,94.83,86.77,8.06,45,8.04,3.3,80.12082615,2.1903,8.659226301
30.5,65,96.80,88.24,8.56,45.2,8,3.64,80.29711825,2.4963,9.573709045
30.5,65,99.85,90.11,9.74,45.4,7.95,4.04,80.29711825,2.7888,10.47512163
30.5,65,104.09,92.7,11.39,45.1,8,4.42,80.29711825,2.9583,10.70798758
30.5,65,108.96,95.03,13.93,45.2,7.98,4.82,80.17961317,3.0275,10.56384835
30.5,65,114.24,97.7,16.54,45.2,8.02,5.14,80.23837723,2.9928,10.03933347
30.5,65,118.25,98.03,20.22,44.2,7.99,5.6,80.23837723,2.856,9.353239632
29.8,65,73.39,70.64,2.75,30.1,8.03,4.06,80.29711825,1.932,9.161064783
29.8,65,80.24,75.6,4.64,35.6,7.96,4,80.29711825,2.22,9.804097097
29.8,65,89.08,82.23,6.85,40.5,7.99,4,80.23837723,2.4024,9.85497422
29.8,65,99.02,89.28,9.74,45.7,7.98,4,80.23837723,2.5599,9.68196543
29.8,65,107.86,94.95,12.91,50.6,7.98,4.02,80.29711825,2.6243,9.339119361
29.8,65,117.05,100.9,16.15,54.9,8,4,80.23837723,2.592,8.688171007
28.2,60,62.20,61.23,0.97,29.8,8.01,4.04,80.17961317,1.6383,9.198012428
28.2,60,68.19,66.11,2.08,34.9,8.02,4,80.23837723,1.988,10.33370394
28.2,60,73.65,70.18,3.47,39.7,7.98,4,80.29711825,2.22,10.87686672
28.2,60,81.42,75.9,5.52,45.5,7.98,4,80.29711825,2.3715,10.74655485
28.2,60,89.10,81.3,7.8,50.7,7.98,4,80.23837723,2.4963,10.53902343
28.2,60,95.11,85.25,9.86,54.8,7.97,4.02,80.29711825,2.4648,9.944049929
28.2,60,102.77,90.16,12.61,60,7.97,3.98,80.35583616,2.3715,9.029917771
28.2,60,76.62,71.98,4.64,44.9,8,3.18,80.29711825,1.716,8.245463858
28.2,60,80.15,75.01,5.14,46.1,7.99,3.62,80.23837723,2.1024,9.680445619
28.2,60,81.81,76.41,5.4,45.1,7.99,4.02,80.23837723,2.28,10.2650723
28.2,60,85.63,79.14,6.49,45.3,8.01,4.4,80.23837723,2.4335,10.53610744
28.2,60,89.23,81.11,8.12,45.7,7.98,4.78,80.23837723,2.4648,10.33735968
28.2,60,94.63,84.22,10.41,45.7,8,5.2,80.23837723,2.3715,9.488849872
28.2,60,97.84,85.38,12.46,44.3,8,5.6,80.17961317,2.28,8.910235752
31,65,86.50,79.42,7.08,45,7.98,3.22,80.23837723,2.0735,8.767746631
31,65,89.16,81.53,7.628,44.6,8.01,3.72,80.23837723,2.5296,10.2778442
31,65,91.38,82.51,8.87,44.8,7.99,4.06,80.23837723,2.715823,10.79872332
31,65,95.63,84.92,10.705,44.8,8.01,4.42,80.23837723,2.92744,11.16254017
31,65,99.85,86.5,13.35,45.4,7.99,4.8,80.23837723,2.8899,10.64771456
31,65,104.99,88.75,16.24,44.8,8.05,5.18,80.23837723,2.92572,10.35526645
31,65,109.20,89.42,19.78,45.3,7.98,5.52,80.23837723,2.73728,9.444994485
31,65,70.11,67.1,3.006,30.2,8.11,4.18,80.23837723,1.95567,9.466696289
31,65,75.36,70.9,4.458,35.7,8.02,3.98,80.23837723,2.175525,10.03500782
31,65,81.57,75.22,6.35,40.5,7.99,3.958,80.23837723,2.365363,10.29931382
31,65,90.05,80.96,9.088,45.5,7.98,4.032,80.23837723,2.553523,10.32397536
31,65,98.60,86.57,12.025,50.9,7.98,3.976,80.23837723,2.553523,9.673277276
31,65,107.23,92.12,15.108,55.3,8.01,3.98,80.17961317,2.598463,9.262375396
31,65,117.16,98.11,19.053,60.5,7.99,3.97,80.23837723,2.486848,8.332258775
29,60,60.10,59.16,0.94,29.4,8.04,4.04,80.29711825,1.5624,8.871243728
29,60,65.08,63.11,1.97,35.1,8.04,4,80.29711825,1.9043,10.13491581
29,60,70.64,67.14,3.5,40.9,7.98,4,80.23837723,2.1024,10.4733938
29,60,70.38,65.54,4.84,44.9,7.99,4,80.29711825,2.22,11.51709937
29,60,83.17,76.09,7.08,50.4,8.01,4,80.23837723,2.3408,10.24979883
29,60,89.75,80.22,9.53,55.6,7.98,4.02,80.23837723,2.387,9.875149517
29,60,95.30,83.88,11.42,59.3,7.99,3.98,80.23837723,2.3103,9.161134583
29,60,74.71,69.88,4.83,44.7,8,4,80.23837723,2.22,10.60675567